Municipios;Distritos;Secciones;Índice de Gini y Distribución de la renta P80/P20;Periodo;Total
29001 Alameda;2900101 Alameda distrito 01;2900101003 Alameda sección 01003;Distribución de la renta P80/P20;2016;2,3
29001 Alameda;2900101 Alameda distrito 01;2900101003 Alameda sección 01003;Distribución de la renta P80/P20;2015;2,5
29001 Alameda;2900101 Alameda distrito 01;2900101004 Alameda sección 01004;Índice de Gini;2023;26,8
29001 Alameda;2900101 Alameda distrito 01;2900101004 Alameda sección 01004;Índice de Gini;2022;27,2
29001 Alameda;2900101 Alameda distrito 01;2900101004 Alameda sección 01004;Índice de Gini;2021;25,9
29001 Alameda;2900101 Alameda distrito 01;2900101004 Alameda sección 01004;Índice de Gini;2020;27,3
29001 Alameda;2900101 Alameda distrito 01;2900101004 Alameda sección 01004;Índice de Gini;2019;26
29001 Alameda;2900101 Alameda distrito 01;2900101004 Alameda sección 01004;Índice de Gini;2018;27,3
29001 Alameda;2900101 Alameda distrito 01;2900101004 Alameda sección 01004;Índice de Gini;2017;28,5
29001 Alameda;2900101 Alameda distrito 01;2900101004 Alameda sección 01004;Índice de Gini;2016;29,4
29001 Alameda;2900101 Alameda distrito 01;2900101004 Alameda sección 01004;Índice de Gini;2015;29,9
29001 Alameda;2900101 Alameda distrito 01;2900101004 Alameda sección 01004;Distribución de la renta P80/P20;2023;2,1
29001 Alameda;2900101 Alameda distrito 01;2900101004 Alameda sección 01004;Distribución de la renta P80/P20;2022;2,2
29001 Alameda;2900101 Alameda distrito 01;2900101004 Alameda sección 01004;Distribución de la renta P80/P20;2021;2,1
29001 Alameda;2900101 Alameda distrito 01;2900101004 Alameda sección 01004;Distribución de la renta P80/P20;2020;2,3
29001 Alameda;2900101 Alameda distrito 01;2900101004 Alameda sección 01004;Distribución de la renta P80/P20;2019;2,1
29001 Alameda;2900101 Alameda distrito 01;2900101004 Alameda sección 01004;Distribución de la renta P80/P20;2018;2
29001 Alameda;2900101 Alameda distrito 01;2900101004 Alameda sección 01004;Distribución de la renta P80/P20;2017;2,4
29001 Alameda;2900101 Alameda distrito 01;2900101004 Alameda sección 01004;Distribución de la renta P80/P20;2016;2,4
29001 Alameda;2900101 Alameda distrito 01;2900101004 Alameda sección 01004;Distribución de la renta P80/P20;2015;2,4
29002 Alcaucín;;;Índice de Gini;2023;33,1
29002 Alcaucín;;;Índice de Gini;2022;34,1
29002 Alcaucín;;;Índice de Gini;2021;34
29002 Alcaucín;;;Índice de Gini;2020;33,8
29002 Alcaucín;;;Índice de Gini;2019;33,5
29002 Alcaucín;;;Índice de Gini;2018;34,7
29002 Alcaucín;;;Índice de Gini;2017;34,7
29002 Alcaucín;;;Índice de Gini;2016;38,5
29002 Alcaucín;;;Índice de Gini;2015;37,3
29002 Alcaucín;;;Distribución de la renta P80/P20;2023;2,9
29002 Alcaucín;;;Distribución de la renta P80/P20;2022;2,7
29002 Alcaucín;;;Distribución de la renta P80/P20;2021;2,8
29002 Alcaucín;;;Distribución de la renta P80/P20;2020;2,9
29002 Alcaucín;;;Distribución de la renta P80/P20;2019;2,9
29002 Alcaucín;;;Distribución de la renta P80/P20;2018;3
29002 Alcaucín;;;Distribución de la renta P80/P20;2017;2,9
29002 Alcaucín;;;Distribución de la renta P80/P20;2016;3,7
29002 Alcaucín;;;Distribución de la renta P80/P20;2015;3,3
29002 Alcaucín;2900201 Alcaucín distrito 01;;Índice de Gini;2023;33,1
29002 Alcaucín;2900201 Alcaucín distrito 01;;Índice de Gini;2022;34,1
29002 Alcaucín;2900201 Alcaucín distrito 01;;Índice de Gini;2021;34
29002 Alcaucín;2900201 Alcaucín distrito 01;;Índice de Gini;2020;33,8
29002 Alcaucín;2900201 Alcaucín distrito 01;;Índice de Gini;2019;33,5
29002 Alcaucín;2900201 Alcaucín distrito 01;;Índice de Gini;2018;34,7
29002 Alcaucín;2900201 Alcaucín distrito 01;;Índice de Gini;2017;34,7
29002 Alcaucín;2900201 Alcaucín distrito 01;;Índice de Gini;2016;38,5
29002 Alcaucín;2900201 Alcaucín distrito 01;;Índice de Gini;2015;37,3
29002 Alcaucín;2900201 Alcaucín distrito 01;;Distribución de la renta P80/P20;2023;2,9
29002 Alcaucín;2900201 Alcaucín distrito 01;;Distribución de la renta P80/P20;2022;2,7
29002 Alcaucín;2900201 Alcaucín distrito 01;;Distribución de la renta P80/P20;2021;2,8
29002 Alcaucín;2900201 Alcaucín distrito 01;;Distribución de la renta P80/P20;2020;2,9
29002 Alcaucín;2900201 Alcaucín distrito 01;;Distribución de la renta P80/P20;2019;2,9
29002 Alcaucín;2900201 Alcaucín distrito 01;;Distribución de la renta P80/P20;2018;3
29002 Alcaucín;2900201 Alcaucín distrito 01;;Distribución de la renta P80/P20;2017;2,9
29002 Alcaucín;2900201 Alcaucín distrito 01;;Distribución de la renta P80/P20;2016;3,7
29002 Alcaucín;2900201 Alcaucín distrito 01;;Distribución de la renta P80/P20;2015;3,3
29002 Alcaucín;2900201 Alcaucín distrito 01;2900201001 Alcaucín sección 01001;Índice de Gini;2023;33,1
29002 Alcaucín;2900201 Alcaucín distrito 01;2900201001 Alcaucín sección 01001;Índice de Gini;2022;34,1
29002 Alcaucín;2900201 Alcaucín distrito 01;2900201001 Alcaucín sección 01001;Índice de Gini;2021;34
29002 Alcaucín;2900201 Alcaucín distrito 01;2900201001 Alcaucín sección 01001;Índice de Gini;2020;33,8
29002 Alcaucín;2900201 Alcaucín distrito 01;2900201001 Alcaucín sección 01001;Índice de Gini;2019;33,5
29002 Alcaucín;2900201 Alcaucín distrito 01;2900201001 Alcaucín sección 01001;Índice de Gini;2018;34,7
29002 Alcaucín;2900201 Alcaucín distrito 01;2900201001 Alcaucín sección 01001;Índice de Gini;2017;34,7
29002 Alcaucín;2900201 Alcaucín distrito 01;2900201001 Alcaucín sección 01001;Índice de Gini;2016;38,5
29002 Alcaucín;2900201 Alcaucín distrito 01;2900201001 Alcaucín sección 01001;Índice de Gini;2015;37,3
29002 Alcaucín;2900201 Alcaucín distrito 01;2900201001 Alcaucín sección 01001;Distribución de la renta P80/P20;2023;2,9
29002 Alcaucín;2900201 Alcaucín distrito 01;2900201001 Alcaucín sección 01001;Distribución de la renta P80/P20;2022;2,7
29002 Alcaucín;2900201 Alcaucín distrito 01;2900201001 Alcaucín sección 01001;Distribución de la renta P80/P20;2021;2,8
29002 Alcaucín;2900201 Alcaucín distrito 01;2900201001 Alcaucín sección 01001;Distribución de la renta P80/P20;2020;2,9
29002 Alcaucín;2900201 Alcaucín distrito 01;2900201001 Alcaucín sección 01001;Distribución de la renta P80/P20;2019;2,9
29002 Alcaucín;2900201 Alcaucín distrito 01;2900201001 Alcaucín sección 01001;Distribución de la renta P80/P20;2018;3
29002 Alcaucín;2900201 Alcaucín distrito 01;2900201001 Alcaucín sección 01001;Distribución de la renta P80/P20;2017;2,9
29002 Alcaucín;2900201 Alcaucín distrito 01;2900201001 Alcaucín sección 01001;Distribución de la renta P80/P20;2016;3,7
29002 Alcaucín;2900201 Alcaucín distrito 01;2900201001 Alcaucín sección 01001;Distribución de la renta P80/P20;2015;3,3
29003 Alfarnate;;;Índice de Gini;2023;30,7
29003 Alfarnate;;;Índice de Gini;2022;31,6
29003 Alfarnate;;;Índice de Gini;2021;32,2
29003 Alfarnate;;;Índice de Gini;2020;32,5
29003 Alfarnate;;;Índice de Gini;2019;32,4
29003 Alfarnate;;;Índice de Gini;2018;33,5
29003 Alfarnate;;;Índice de Gini;2017;33,9
29003 Alfarnate;;;Índice de Gini;2016;36
29003 Alfarnate;;;Índice de Gini;2015;35
29003 Alfarnate;;;Distribución de la renta P80/P20;2023;2,5
29003 Alfarnate;;;Distribución de la renta P80/P20;2022;2,6
29003 Alfarnate;;;Distribución de la renta P80/P20;2021;2,5
29003 Alfarnate;;;Distribución de la renta P80/P20;2020;2,6
29003 Alfarnate;;;Distribución de la renta P80/P20;2019;2,4
29003 Alfarnate;;;Distribución de la renta P80/P20;2018;2,7
29003 Alfarnate;;;Distribución de la renta P80/P20;2017;2,6
29003 Alfarnate;;;Distribución de la renta P80/P20;2016;3
29003 Alfarnate;;;Distribución de la renta P80/P20;2015;2,8
29003 Alfarnate;2900301 Alfarnate distrito 01;;Índice de Gini;2023;30,7
29003 Alfarnate;2900301 Alfarnate distrito 01;;Índice de Gini;2022;31,6
29003 Alfarnate;2900301 Alfarnate distrito 01;;Índice de Gini;2021;32,2
29003 Alfarnate;2900301 Alfarnate distrito 01;;Índice de Gini;2020;32,5
29003 Alfarnate;2900301 Alfarnate distrito 01;;Índice de Gini;2019;32,4
