Municipios;Sexo;Periodo;Total
29006 Algatocín;Mujeres;2020;394
29006 Algatocín;Mujeres;2019;383
29006 Algatocín;Mujeres;2018;367
29006 Algatocín;Mujeres;2017;376
29006 Algatocín;Mujeres;2016;386
29006 Algatocín;Mujeres;2015;402
29007 Alhaurín de la Torre;Total;2025;45.066
29007 Alhaurín de la Torre;Total;2024;44.057
29007 Alhaurín de la Torre;Total;2023;43.674
29007 Alhaurín de la Torre;Total;2022;42.531
29007 Alhaurín de la Torre;Total;2021;41.868
29007 Alhaurín de la Torre;Total;2020;41.170
29007 Alhaurín de la Torre;Total;2019;40.345
29007 Alhaurín de la Torre;Total;2018;39.911
29007 Alhaurín de la Torre;Total;2017;39.153
29007 Alhaurín de la Torre;Total;2016;38.794
29007 Alhaurín de la Torre;Total;2015;38.523
29007 Alhaurín de la Torre;Hombres;2025;22.290
29007 Alhaurín de la Torre;Hombres;2024;21.849
29007 Alhaurín de la Torre;Hombres;2023;21.662
29007 Alhaurín de la Torre;Hombres;2022;21.153
29007 Alhaurín de la Torre;Hombres;2021;20.802
29007 Alhaurín de la Torre;Hombres;2020;20.437
29007 Alhaurín de la Torre;Hombres;2019;20.047
29007 Alhaurín de la Torre;Hombres;2018;19.830
29007 Alhaurín de la Torre;Hombres;2017;19.458
29007 Alhaurín de la Torre;Hombres;2016;19.309
29007 Alhaurín de la Torre;Hombres;2015;19.162
29007 Alhaurín de la Torre;Mujeres;2025;22.776
29007 Alhaurín de la Torre;Mujeres;2024;22.208
29007 Alhaurín de la Torre;Mujeres;2023;22.012
29007 Alhaurín de la Torre;Mujeres;2022;21.378
29007 Alhaurín de la Torre;Mujeres;2021;21.066
29007 Alhaurín de la Torre;Mujeres;2020;20.733
29007 Alhaurín de la Torre;Mujeres;2019;20.298
29007 Alhaurín de la Torre;Mujeres;2018;20.081
29007 Alhaurín de la Torre;Mujeres;2017;19.695
29007 Alhaurín de la Torre;Mujeres;2016;19.485
29007 Alhaurín de la Torre;Mujeres;2015;19.361
29008 Alhaurín el Grande;Total;2025;27.552
29008 Alhaurín el Grande;Total;2024;27.647
29008 Alhaurín el Grande;Total;2023;26.879
29008 Alhaurín el Grande;Total;2022;26.436
29008 Alhaurín el Grande;Total;2021;26.095
