Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
29001 Alameda;2900101 Alameda distrito 01;2900101003 Alameda sección 01003;Renta neta media por hogar;2018;19.293
29001 Alameda;2900101 Alameda distrito 01;2900101003 Alameda sección 01003;Renta neta media por hogar;2017;17.973
29001 Alameda;2900101 Alameda distrito 01;2900101003 Alameda sección 01003;Renta neta media por hogar;2016;17.644
29001 Alameda;2900101 Alameda distrito 01;2900101003 Alameda sección 01003;Renta neta media por hogar;2015;16.963
29001 Alameda;2900101 Alameda distrito 01;2900101004 Alameda sección 01004;Renta neta media por persona;2023;10.682
29001 Alameda;2900101 Alameda distrito 01;2900101004 Alameda sección 01004;Renta neta media por persona;2022;""
29001 Alameda;2900101 Alameda distrito 01;2900101004 Alameda sección 01004;Renta neta media por persona;2021;""
29001 Alameda;2900101 Alameda distrito 01;2900101004 Alameda sección 01004;Renta neta media por persona;2020;""
29001 Alameda;2900101 Alameda distrito 01;2900101004 Alameda sección 01004;Renta neta media por persona;2019;""
29001 Alameda;2900101 Alameda distrito 01;2900101004 Alameda sección 01004;Renta neta media por persona;2018;""
29001 Alameda;2900101 Alameda distrito 01;2900101004 Alameda sección 01004;Renta neta media por persona;2017;""
29001 Alameda;2900101 Alameda distrito 01;2900101004 Alameda sección 01004;Renta neta media por persona;2016;""
29001 Alameda;2900101 Alameda distrito 01;2900101004 Alameda sección 01004;Renta neta media por persona;2015;""
29001 Alameda;2900101 Alameda distrito 01;2900101004 Alameda sección 01004;Renta neta media por hogar;2023;30.235
29001 Alameda;2900101 Alameda distrito 01;2900101004 Alameda sección 01004;Renta neta media por hogar;2022;27.633
29001 Alameda;2900101 Alameda distrito 01;2900101004 Alameda sección 01004;Renta neta media por hogar;2021;26.542
29001 Alameda;2900101 Alameda distrito 01;2900101004 Alameda sección 01004;Renta neta media por hogar;2020;24.554
29001 Alameda;2900101 Alameda distrito 01;2900101004 Alameda sección 01004;Renta neta media por hogar;2019;25.168
29001 Alameda;2900101 Alameda distrito 01;2900101004 Alameda sección 01004;Renta neta media por hogar;2018;23.143
29001 Alameda;2900101 Alameda distrito 01;2900101004 Alameda sección 01004;Renta neta media por hogar;2017;22.005
29001 Alameda;2900101 Alameda distrito 01;2900101004 Alameda sección 01004;Renta neta media por hogar;2016;21.071
29001 Alameda;2900101 Alameda distrito 01;2900101004 Alameda sección 01004;Renta neta media por hogar;2015;20.599
29002 Alcaucín;;;Renta neta media por persona;2023;11.024
29002 Alcaucín;;;Renta neta media por persona;2022;9.726
29002 Alcaucín;;;Renta neta media por persona;2021;9.198
29002 Alcaucín;;;Renta neta media por persona;2020;8.299
29002 Alcaucín;;;Renta neta media por persona;2019;8.307
29002 Alcaucín;;;Renta neta media por persona;2018;7.870
29002 Alcaucín;;;Renta neta media por persona;2017;7.363
29002 Alcaucín;;;Renta neta media por persona;2016;6.411
29002 Alcaucín;;;Renta neta media por persona;2015;7.115
29002 Alcaucín;;;Renta neta media por hogar;2023;25.095
29002 Alcaucín;;;Renta neta media por hogar;2022;22.097
29002 Alcaucín;;;Renta neta media por hogar;2021;20.473
29002 Alcaucín;;;Renta neta media por hogar;2020;18.931
29002 Alcaucín;;;Renta neta media por hogar;2019;19.046
29002 Alcaucín;;;Renta neta media por hogar;2018;17.857
29002 Alcaucín;;;Renta neta media por hogar;2017;16.921
29002 Alcaucín;;;Renta neta media por hogar;2016;15.645
29002 Alcaucín;;;Renta neta media por hogar;2015;16.687
29002 Alcaucín;2900201 Alcaucín distrito 01;;Renta neta media por persona;2023;11.024
29002 Alcaucín;2900201 Alcaucín distrito 01;;Renta neta media por persona;2022;9.726
29002 Alcaucín;2900201 Alcaucín distrito 01;;Renta neta media por persona;2021;9.198
29002 Alcaucín;2900201 Alcaucín distrito 01;;Renta neta media por persona;2020;8.299
29002 Alcaucín;2900201 Alcaucín distrito 01;;Renta neta media por persona;2019;""
29002 Alcaucín;2900201 Alcaucín distrito 01;;Renta neta media por persona;2018;""
29002 Alcaucín;2900201 Alcaucín distrito 01;;Renta neta media por persona;2017;""
29002 Alcaucín;2900201 Alcaucín distrito 01;;Renta neta media por persona;2016;""
29002 Alcaucín;2900201 Alcaucín distrito 01;;Renta neta media por persona;2015;""
29002 Alcaucín;2900201 Alcaucín distrito 01;;Renta neta media por hogar;2023;25.095
29002 Alcaucín;2900201 Alcaucín distrito 01;;Renta neta media por hogar;2022;22.097
29002 Alcaucín;2900201 Alcaucín distrito 01;;Renta neta media por hogar;2021;20.473
29002 Alcaucín;2900201 Alcaucín distrito 01;;Renta neta media por hogar;2020;18.931
29002 Alcaucín;2900201 Alcaucín distrito 01;;Renta neta media por hogar;2019;19.046
29002 Alcaucín;2900201 Alcaucín distrito 01;;Renta neta media por hogar;2018;17.857
29002 Alcaucín;2900201 Alcaucín distrito 01;;Renta neta media por hogar;2017;16.921
29002 Alcaucín;2900201 Alcaucín distrito 01;;Renta neta media por hogar;2016;15.645
29002 Alcaucín;2900201 Alcaucín distrito 01;;Renta neta media por hogar;2015;16.687
29002 Alcaucín;2900201 Alcaucín distrito 01;2900201001 Alcaucín sección 01001;Renta neta media por persona;2023;11.024
29002 Alcaucín;2900201 Alcaucín distrito 01;2900201001 Alcaucín sección 01001;Renta neta media por persona;2022;9.726
29002 Alcaucín;2900201 Alcaucín distrito 01;2900201001 Alcaucín sección 01001;Renta neta media por persona;2021;9.198
29002 Alcaucín;2900201 Alcaucín distrito 01;2900201001 Alcaucín sección 01001;Renta neta media por persona;2020;8.299
29002 Alcaucín;2900201 Alcaucín distrito 01;2900201001 Alcaucín sección 01001;Renta neta media por persona;2019;8.307
29002 Alcaucín;2900201 Alcaucín distrito 01;2900201001 Alcaucín sección 01001;Renta neta media por persona;2018;7.870
29002 Alcaucín;2900201 Alcaucín distrito 01;2900201001 Alcaucín sección 01001;Renta neta media por persona;2017;7.363
29002 Alcaucín;2900201 Alcaucín distrito 01;2900201001 Alcaucín sección 01001;Renta neta media por persona;2016;6.411
29002 Alcaucín;2900201 Alcaucín distrito 01;2900201001 Alcaucín sección 01001;Renta neta media por persona;2015;7.115
29002 Alcaucín;2900201 Alcaucín distrito 01;2900201001 Alcaucín sección 01001;Renta neta media por hogar;2023;25.095
29002 Alcaucín;2900201 Alcaucín distrito 01;2900201001 Alcaucín sección 01001;Renta neta media por hogar;2022;22.097
29002 Alcaucín;2900201 Alcaucín distrito 01;2900201001 Alcaucín sección 01001;Renta neta media por hogar;2021;20.473
29002 Alcaucín;2900201 Alcaucín distrito 01;2900201001 Alcaucín sección 01001;Renta neta media por hogar;2020;18.931
29002 Alcaucín;2900201 Alcaucín distrito 01;2900201001 Alcaucín sección 01001;Renta neta media por hogar;2019;19.046
29002 Alcaucín;2900201 Alcaucín distrito 01;2900201001 Alcaucín sección 01001;Renta neta media por hogar;2018;17.857
29002 Alcaucín;2900201 Alcaucín distrito 01;2900201001 Alcaucín sección 01001;Renta neta media por hogar;2017;16.921
29002 Alcaucín;2900201 Alcaucín distrito 01;2900201001 Alcaucín sección 01001;Renta neta media por hogar;2016;15.645
29002 Alcaucín;2900201 Alcaucín distrito 01;2900201001 Alcaucín sección 01001;Renta neta media por hogar;2015;16.687
29003 Alfarnate;;;Renta neta media por persona;2023;11.989
29003 Alfarnate;;;Renta neta media por persona;2022;10.719
29003 Alfarnate;;;Renta neta media por persona;2021;10.430
29003 Alfarnate;;;Renta neta media por persona;2020;10.034
29003 Alfarnate;;;Renta neta media por persona;2019;9.676
29003 Alfarnate;;;Renta neta media por persona;2018;9.450
29003 Alfarnate;;;Renta neta media por persona;2017;8.994
29003 Alfarnate;;;Renta neta media por persona;2016;9.137
29003 Alfarnate;;;Renta neta media por persona;2015;8.563
29003 Alfarnate;;;Renta neta media por hogar;2023;24.621
29003 Alfarnate;;;Renta neta media por hogar;2022;21.939
29003 Alfarnate;;;Renta neta media por hogar;2021;21.293
29003 Alfarnate;;;Renta neta media por hogar;2020;20.639
29003 Alfarnate;;;Renta neta media por hogar;2019;20.129
29003 Alfarnate;;;Renta neta media por hogar;2018;19.617
29003 Alfarnate;;;Renta neta media por hogar;2017;18.755
29003 Alfarnate;;;Renta neta media por hogar;2016;19.213
29003 Alfarnate;;;Renta neta media por hogar;2015;18.123
29003 Alfarnate;2900301 Alfarnate distrito 01;;Renta neta media por persona;2023;11.989
29003 Alfarnate;2900301 Alfarnate distrito 01;;Renta neta media por persona;2022;10.719
29003 Alfarnate;2900301 Alfarnate distrito 01;;Renta neta media por persona;2021;10.430
29003 Alfarnate;2900301 Alfarnate distrito 01;;Renta neta media por persona;2020;10.034
29003 Alfarnate;2900301 Alfarnate distrito 01;;Renta neta media por persona;2019;""
29003 Alfarnate;2900301 Alfarnate distrito 01;;Renta neta media por persona;2018;""
29003 Alfarnate;2900301 Alfarnate distrito 01;;Renta neta media por persona;2017;""
29003 Alfarnate;2900301 Alfarnate distrito 01;;Renta neta media por persona;2016;""
29003 Alfarnate;2900301 Alfarnate distrito 01;;Renta neta media por persona;2015;""
29003 Alfarnate;2900301 Alfarnate distrito 01;;Renta neta media por hogar;2023;24.621
29003 Alfarnate;2900301 Alfarnate distrito 01;;Renta neta media por hogar;2022;21.939
29003 Alfarnate;2900301 Alfarnate distrito 01;;Renta neta media por hogar;2021;21.293
29003 Alfarnate;2900301 Alfarnate distrito 01;;Renta neta media por hogar;2020;20.639
29003 Alfarnate;2900301 Alfarnate distrito 01;;Renta neta media por hogar;2019;20.129
29003 Alfarnate;2900301 Alfarnate distrito 01;;Renta neta media por hogar;2018;19.617
29003 Alfarnate;2900301 Alfarnate distrito 01;;Renta neta media por hogar;2017;18.755
29003 Alfarnate;2900301 Alfarnate distrito 01;;Renta neta media por hogar;2016;19.213
29003 Alfarnate;2900301 Alfarnate distrito 01;;Renta neta media por hogar;2015;18.123
29003 Alfarnate;2900301 Alfarnate distrito 01;2900301001 Alfarnate sección 01001;Renta neta media por persona;2023;11.989
29003 Alfarnate;2900301 Alfarnate distrito 01;2900301001 Alfarnate sección 01001;Renta neta media por persona;2022;10.719
29003 Alfarnate;2900301 Alfarnate distrito 01;2900301001 Alfarnate sección 01001;Renta neta media por persona;2021;10.430
29003 Alfarnate;2900301 Alfarnate distrito 01;2900301001 Alfarnate sección 01001;Renta neta media por persona;2020;10.034
29003 Alfarnate;2900301 Alfarnate distrito 01;2900301001 Alfarnate sección 01001;Renta neta media por persona;2019;9.676
29003 Alfarnate;2900301 Alfarnate distrito 01;2900301001 Alfarnate sección 01001;Renta neta media por persona;2018;9.450
29003 Alfarnate;2900301 Alfarnate distrito 01;2900301001 Alfarnate sección 01001;Renta neta media por persona;2017;8.994
29003 Alfarnate;2900301 Alfarnate distrito 01;2900301001 Alfarnate sección 01001;Renta neta media por persona;2016;9.137
29003 Alfarnate;2900301 Alfarnate distrito 01;2900301001 Alfarnate sección 01001;Renta neta media por persona;2015;8.563
29003 Alfarnate;2900301 Alfarnate distrito 01;2900301001 Alfarnate sección 01001;Renta neta media por hogar;2023;24.621
29003 Alfarnate;2900301 Alfarnate distrito 01;2900301001 Alfarnate sección 01001;Renta neta media por hogar;2022;21.939
29003 Alfarnate;2900301 Alfarnate distrito 01;2900301001 Alfarnate sección 01001;Renta neta media por hogar;2021;21.293
29003 Alfarnate;2900301 Alfarnate distrito 01;2900301001 Alfarnate sección 01001;Renta neta media por hogar;2020;20.639
29003 Alfarnate;2900301 Alfarnate distrito 01;2900301001 Alfarnate sección 01001;Renta neta media por hogar;2019;20.129
29003 Alfarnate;2900301 Alfarnate distrito 01;2900301001 Alfarnate sección 01001;Renta neta media por hogar;2018;19.617
29003 Alfarnate;2900301 Alfarnate distrito 01;2900301001 Alfarnate sección 01001;Renta neta media por hogar;2017;18.755
29003 Alfarnate;2900301 Alfarnate distrito 01;2900301001 Alfarnate sección 01001;Renta neta media por hogar;2016;19.213
29003 Alfarnate;2900301 Alfarnate distrito 01;2900301001 Alfarnate sección 01001;Renta neta media por hogar;2015;18.123
29004 Alfarnatejo;;;Renta neta media por persona;2023;11.570
29004 Alfarnatejo;;;Renta neta media por persona;2022;10.210
29004 Alfarnatejo;;;Renta neta media por persona;2021;9.654
29004 Alfarnatejo;;;Renta neta media por persona;2020;8.669
29004 Alfarnatejo;;;Renta neta media por persona;2019;8.525
29004 Alfarnatejo;;;Renta neta media por persona;2018;8.565
29004 Alfarnatejo;;;Renta neta media por persona;2017;7.697
29004 Alfarnatejo;;;Renta neta media por persona;2016;7.226
29004 Alfarnatejo;;;Renta neta media por persona;2015;7.281
29004 Alfarnatejo;;;Renta neta media por hogar;2023;22.684
29004 Alfarnatejo;;;Renta neta media por hogar;2022;20.587
29004 Alfarnatejo;;;Renta neta media por hogar;2021;18.877
29004 Alfarnatejo;;;Renta neta media por hogar;2020;17.190
29004 Alfarnatejo;;;Renta neta media por hogar;2019;16.763
29004 Alfarnatejo;;;Renta neta media por hogar;2018;17.468
29004 Alfarnatejo;;;Renta neta media por hogar;2017;16.032
29004 Alfarnatejo;;;Renta neta media por hogar;2016;15.433
29004 Alfarnatejo;;;Renta neta media por hogar;2015;14.829
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;;Renta neta media por persona;2023;11.570
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;;Renta neta media por persona;2022;10.210
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;;Renta neta media por persona;2021;9.654
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;;Renta neta media por persona;2020;8.669
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;;Renta neta media por persona;2019;""
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;;Renta neta media por persona;2018;""
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;;Renta neta media por persona;2017;""
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;;Renta neta media por persona;2016;""
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;;Renta neta media por persona;2015;""
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;;Renta neta media por hogar;2023;22.684
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;;Renta neta media por hogar;2022;20.587
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;;Renta neta media por hogar;2021;18.877
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;;Renta neta media por hogar;2020;17.190
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;;Renta neta media por hogar;2019;16.763
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;;Renta neta media por hogar;2018;17.468
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;;Renta neta media por hogar;2017;16.032
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;;Renta neta media por hogar;2016;15.433
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;;Renta neta media por hogar;2015;14.829
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;2900401001 Alfarnatejo sección 01001;Renta neta media por persona;2023;11.570
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;2900401001 Alfarnatejo sección 01001;Renta neta media por persona;2022;10.210
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;2900401001 Alfarnatejo sección 01001;Renta neta media por persona;2021;9.654
